,호선,역명,자치구,역번호,미세먼지,이산화탄소,포름알데히드,일산화탄소,공기질점수,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,승객수
0,1호선,서울역,중구,150,0.3355592654424041,0.6231454005934718,0.37116564417177905,0.1666666666666666,0.40843118268953016,3198290.0,2271168.0,1601396.0,1803550.0,2112629.0,2201148.0,2391615.0,1986290.0,1705059.0,2121997.0,2218093.0,1648262.0,0.4787100229283056
1,1호선,시청,중구,151,0.7412353923205343,0.5727002967359051,0.41411042944785276,0.4999999999999999,0.7002210445069467,1477362.0,1149641.0,888317.0,874072.0,962697.0,1042088.0,1134098.0,922958.0,853911.0,994423.0,1072922.0,857434.0,0.22506249900231307
2,1호선,종각,종로구,152,0.7262103505843072,0.8011869436201781,0.4969325153374233,0.41666666666666663,0.7851642829606004,2462560.0,1945843.0,1475933.0,1586710.0,1745454.0,1892509.0,2069902.0,1626359.0,1378130.0,1702997.0,1758055.0,1314449.0,0.39499005427806205
3,1호선,종로3가,종로구,153,0.8180300500834724,0.6795252225519288,0.5,0.7499999999999999,0.9074467586778283,1935106.0,1421415.0,1095035.0,1224282.0,1374997.0,1360814.0,1523797.0,1212158.0,1051916.0,1298918.0,1297683.0,953894.0,0.29358834795115013
4,1호선,종로5가,종로구,154,0.7195325542570953,0.34124629080118696,0.37116564417177905,0.5833333333333333,0.6153504282171965,1527217.0,1149021.0,947157.0,1040487.0,1182917.0,1182427.0,1263489.0,1017196.0,988661.0,1124400.0,1100466.0,930913.0,0.24889851470210922
5,1호선,동대문,종로구,155,0.7212020033388982,0.42729970326409494,0.3957055214723926,0.5833333333333333,0.6601306328526868,853074.0,618961.0,507532.0,578736.0,674203.0,656902.0,678855.0,552414.0,558966.0,665350.0,642474.0,509127.0,0.13291849024369257
6,1호선,신설동,동대문구,156,0.7045075125208681,0.2789317507418398,0.21165644171779138,0.5833333333333333,0.5208744058481395,874966.0,743203.0,629681.0,664350.0,735967.0,769029.0,789347.0,638119.0,640524.0,723700.0,709105.0,618252.0,0.15315740170788428
7,1호선,제기동,동대문구,157,0.692821368948247,0.23738872403560832,0.28834355828220853,0.3333333333333333,0.4305096095834245,1218944.0,856496.0,738627.0,847495.0,926402.0,895095.0,943880.0,803572.0,922705.0,964302.0,944003.0,787553.0,0.198181426009007
8,1호선,청량리,동대문구,158,0.5876460767946577,0.39465875370919884,0.30981595092024544,0.24999999999999992,0.4266139930930408,1453835.0,1068751.0,912434.0,1014531.0,1134388.0,1126493.0,1183648.0,1013206.0,1049171.0,1136702.0,1120268.0,935533.0,0.2429534491934991
9,1호선,동묘앞,종로구,159,0.5191986644407347,0.44510385756676557,0.35582822085889576,0.5833333333333333,0.5707493210758108,618741.0,454685.0,420816.0,491397.0,555608.0,529687.0,535399.0,425595.0,473384.0,578592.0,525867.0,432133.0,0.10459994993071674
10,2호선,시청,중구,201,0.8848080133555926,0.41839762611275966,0.17484662576687116,0.4999999999999999,0.6005016182561068,1410239.0,1206303.0,988688.0,979300.0,1028747.0,1126264.0,1205606.0,980247.0,924240.0,1031394.0,1124381.0,911876.0,0.23844341762181806
11,2호선,을지로입구,중구,202,0.4156928213689483,0.42136498516320475,0.17177914110429449,0.4999999999999999,0.41333748742967585,2913336.0,2175839.0,1626671.0,1692730.0,1819400.0,2006038.0,2147933.0,1759518.0,1609473.0,1851730.0,1950678.0,1628755.0,0.4382692263517052
